BOMBILLO WELLMAX 30W,296.61,260
CINT MET CENT IND 8M,741.53,646
CINT MET CENT IND 5M,475,416
DESTORN CENT ESTR MULT 24 PCS,487.29,410
MANGUERA LAVADORA DESA,42.37,35
SOPORTE P/DUCHA LICO,63.56,51
MANGUERA P/TANQ BOMBA 1X24,593.22,500
CARRETILLA SAM,4284,3726
VASTAGO NICO URREA LARGO,534,466
NIPLE GALVANIZADO 3/8X2 1/2,12.7,6.53
TOALLERO NIQUELADO 5/8X24,165.3,138
DISCO LIJA TRUP 4 1/2 #80,34,27.6
DISCO LIJA TRUP 4 1/2 #36,34,27.5
BARRENA TRUP MET 7/16,398.3,347
ALICATE PRES TRUP 10´´,415.3,362
PALA CUADRADA PRETUL 22506,415.3,360
CUELLO MEZC 44481,563.6,488
CUELLO MEZC 49285,229,199
CUELLO MEZC 49791,445,388
CEPILLERA CRIST  49633,85,73
JABONERA CRISTAL 49637,102,86
LIMA PLANA 15140,76.3,66
LIMA PLANA 15153,85,73
PALOMETA AIRE 14X17X1.5,741.5,640
TERMO,975,850
REGADERA AQUAPLUS,200,175
SOGA TRENZADA 1/4,144,124
PATA DE CABRA 12´´,110,95
SWITCH NARANJA 3X100,775,678
ALICATE PRESION DIESEL 7´´,233,202
PINZA CORTE DIESEL 8´´,313.6,272
RUEDA DIESEL C/U,55,45
LLAVE MEC PRET #15,97.5,83
HACHA,907,890
VASO LICUADORA CRIST,254,225
REVIVIDOR DE BAT  LT,29.7,25
CEPILLERA AQUAPLUS,119,100
NUMERO #7 #6,30,24
CORTA VIDRIO SANTUL,186,160
BARRENA VIDRIO  1 1/8 17127,542.4,468
AGUA DE BATERIA (DESTILADA) 1LT,27.96,17.5
TROPICAL PLUS AZUL GL,890,700
TROPICAL ANTIOX ROJO,763,600
BARRENA VIDRIO  1 3/8  17129,644,558
MANDRIL P/BROC 9/16- 1 3/16 18122,195,172
CLAVO P/CLAVADORA F40,381.4,330
MANGUERA TRANSP 3/8 SUP,13.56,11.4
DESTORCEDOR P/CADENA 3/8,229,200
ATOMIZADOR 1LT,106,85
REGLETA OUTLET C/ USB 6 SALIDA,339,318.6
DESTORN ESTRIA/PLANO  5/16,106,85.5
NIVEL TORPEDO HANGING,93.22,76.5
MARTILLO BENO REF,381.4,315
SOLDADURA INOX 3/32 P/UNIDAD,21.2,20
TANQUE PRESION HOR PRET,2119,1923
BARRENA HILT TRUP 3/8X6,123,108
PICO FIBRA TRUP,1013,877
ARANDELA PLANA 1/4,0.55,0.46
LIJA YARDA #100 Y 120,318,285
LIJA YARDA #60 Y 80,330.5,304
LIJA FT  #100 Y 120,110,95
LIJA FT  #60 Y 80,114.4,101.4
ELICE ABANICO GRAD,190.7,173
PICO VIKINGO SOLO,534,466
CERRADURA P/CAJA CHICA,55.08,46
AGUA DE BATERIA (DESTILADA) GL,59.32,55
ACEITE WD''40 8 OZ,280,236
CINTA MET CENT IND 8MET,741.5,646
BROCHA ATLAS 1/2,42.4,38
CUBRE FALTA FREG PLAST,38.14,31.5
HILO BALLENITA # 03 NEGRO,144,121
POLVO MOSAICO NEGRO,68,58.7
PVC CLAN  3 X 1/2,135.6,126
PVC CLAN  2 X 1/2,80.5,70
TORN CARRUAJE 3/8 X 6,21.2,15.66
BOMBA LADRONA TRUP 3/4 HP,4831,4335
BARRENA ESCALONADA 3/16 A 1/2,411,345
LLAVE MEC PRET #17,110,95
LLAVE MEC PRET #18,123,104
LLAVE MEC PRET #19,127,107
DESTORCEDOR P/CADENA 3/8,241.5,201.4
SOGA TRENZADA 5/16,335,294
PIEDRA CIRCULAR # 36,199.15,170
VALVULA CIST T/NIBCO 1´´ S/BOLLA,322.03,270
TORNILLO CARRUAJE 3/8 X10,34,24.5
TORNILLO CARRUAJE 5/16X6,17,11
GUAYO FERRE TOLSEN,144,120
SOGA RAFIA LB,161,135
HILO GRAMA 2.4MM TOLSEN,102,82.66
CUBO MEC TOLSEN LARGO #20,119,98
CUBO MEC TOLSEN LARGO #21,119,98
CUBO MEC TOLSEN LARGO #23,144,120
CUBO MEC TOLSEN LARGO #24,148.3,126
EXTENSION MEC TOLSEN 1/4X4,51,43
TORN TIRAFONDO 7X1,0.59,0.48
GANCHO PARED 40MM 5/1,63.6,54
VALVULA CISTERNA 1/2 ITAL,504.24,426
SOLDADURA BRONCE REVEST GRUE,161,140
PANEL EUROPEO 12 CIRC,487.3,425
BOTA GOMA #44,424,409
BOTA GOMA #45,424,409
TAPA INOD ELONG CREM WJ500383,720.4,610
REGATON CUADRADO 1´´,2.97,2
REGATON CUADRADO 1 1/2,5.08,3.3
REGATON CUADRADO 1/2,2.12,1.4
REGATON CUADRADO 3/4,2.33,1.5
REGATON CUADRADO 2´´,6.72,4.75
REGATON REDONDO 3/4,2.54,1.65
REGATON REDONDO 1 1/2,4.66,3
RESBALADORES MARRON 1´´ 055-3,3.81,2.95
RESBALADORES MARRON 1 1/4 055-4,4.45,3.5
SOPORTE VIDRIO 19X100 MM,25.4,22
CINTA PALETIZAR,530,419
SEGUETA TRUP SIERRA 6¨ C/U (10790),119,99
SEGUETA TRUP SIERRA 9¨ C/U (10791),182.2,153.4
INSECTICIDA SPS SEMILLA,30,20
PLOMADA PRETUL 22461,250,210
